file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\LCOM.java,com.github.mauricioaniche.ck.metric.LCOM,class,9,17,2,0,18,9,7,6,0,2,0,0,0,66
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\Runner.java,com.github.mauricioaniche.ck.Runner,class,2,6,1,0,23,0,1,1,1,0,0,0,1,39
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOSI.java,com.github.mauricioaniche.ck.metric.NOSI,class,7,5,2,0,6,1,3,3,0,1,0,0,0,25
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\WMC.java,com.github.mauricioaniche.ck.metric.WMC,class,15,16,2,0,10,89,14,12,0,1,0,0,0,86
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOPM.java,com.github.mauricioaniche.ck.metric.NOPM,class,6,5,2,0,4,1,3,3,0,1,0,0,0,24
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOSM.java,com.github.mauricioaniche.ck.metric.NOSM,class,6,5,2,0,4,1,3,3,0,1,0,0,0,24
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\LOCCalculator.java,com.github.mauricioaniche.ck.LOCCalculator,class,2,6,1,0,8,1,2,1,0,1,0,1,0,30
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\CBO.java,com.github.mauricioaniche.ck.metric.CBO,class,23,38,2,0,25,165,19,17,0,1,0,0,0,139
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\MetricsExecutor.java,com.github.mauricioaniche.ck.MetricsExecutor,class,9,9,2,0,13,0,3,3,0,3,0,1,0,43
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\CKReport.java,com.github.mauricioaniche.ck.CKReport,class,1,8,1,0,7,0,5,5,0,1,0,0,0,26
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\DIT.java,com.github.mauricioaniche.ck.metric.DIT,class,8,10,2,0,8,4,4,3,0,1,0,0,0,33
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\ClassInfo.java,com.github.mauricioaniche.ck.metric.ClassInfo,class,4,9,2,0,4,2,5,4,0,2,0,0,0,32
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOC.java,com.github.mauricioaniche.ck.metric.NOC,class,7,7,2,0,6,1,3,3,0,1,0,0,0,28
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\CKNumber.java,com.github.mauricioaniche.ck.CKNumber,class,1,55,1,0,6,642,40,40,0,19,0,0,0,169
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOM.java,com.github.mauricioaniche.ck.metric.NOM,class,6,3,2,0,2,1,3,3,0,1,0,0,0,22
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOPF.java,com.github.mauricioaniche.ck.metric.NOPF,class,6,5,2,0,4,1,3,3,0,1,0,0,0,24
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\Metric.java,com.github.mauricioaniche.ck.metric.Metric,interface,3,2,1,0,0,1,2,0,0,0,0,0,0,8
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\RFC.java,com.github.mauricioaniche.ck.metric.RFC,class,10,12,2,0,17,19,7,4,0,1,0,0,0,53
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\FileUtils.java,com.github.mauricioaniche.ck.FileUtils,class,0,16,1,0,12,6,4,2,4,0,0,0,4,42
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\CK.java,com.github.mauricioaniche.ck.CK,class,19,22,1,0,31,22,8,5,0,3,1,2,7,98
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOF.java,com.github.mauricioaniche.ck.metric.NOF,class,6,3,2,0,2,1,3,3,0,1,0,0,0,22
C:\Users\Mateusz\Desktop\Metodyki\Metodyki\Program\java_module\ck\src\main\java\com\github\mauricioaniche\ck\metric\NOSF.java,com.github.mauricioaniche.ck.metric.NOSF,class,6,5,2,0,4,1,3,3,0,1,0,0,0,24
